text;class;keyword_label;valder_label;textbloc_polarity_label;textbloc_subjectivity_label;happy_transformer_label;bert_label;suicidal_bert_label;polarity_modele;Naif;modele_groupement_score;groupement_all_modele_par_3;groupement_all_modele_par_4;groupement_all_modele_par_5;groupement_all_modele_par_4_subjectivity50;groupement_all_modele_par_4_subjectivity75;groupement_all_modele_par_5_subjectivity50;groupement_all_modele_par_5_subjectivity75;groupement_best_modele_par_2;groupement_best_modele_par_3;groupement_best_modele_par_2_subjectivity50;groupement_best_modele_par_2_subjectivity75;groupement_best_modele_par_3_subjectivity50;groupement_best_modele_par_4_subjectivity75
i hate myself so much i want to KILL myself how are y all;1;1;1;-0.3;0.55;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;0;1;0
RT  I woke up with a bag over my head after I intentionally overdosed on a conbo of 250 mg diclazepam  half a handle of bou;1;0;0;-0.1666666666666666;0.1666666666666666;1;1;1;1;1;2;1;0;0;0;0;0;0;1;0;0;0;0;0
i wanna fucking kill myself;1;1;1;-0.6;0.8;1;1;0;0;1;3;1;0;0;0;0;0;0;1;1;1;1;1;1
why do i destroy all my opportunities  am i going to kill myself on accident  if i only get worse  does that mean a  https   t co Ur1sapAyLo;1;1;1;-0.228125;0.571875;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;0;1;0
u   understand what the fuck im doing wrong with my life;1;1;1;-0.45;0.75;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;1;1;1
Wait I take this back  I fucking hate living in Markham and I want to actually kill myself damn;1;1;1;-0.2666666666666666;0.3333333333333333;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;0;0;0;0
Bitch I m gonna kill myself what the fuck;1;1;1;-0.4;0.6;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;0;1;0
goodnight i really want to fucking kill myself;1;0;1;-0.1999999999999999;0.5;1;0;0;1;1;2;0;0;0;0;0;0;0;1;0;1;0;0;0
I wanna kill myself like not literally but mentally and emotionally;1;1;1;-0.05;0.425;0;1;0;1;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0
its crazy cause i shut myself out on two ppl i been down w  soo long   and ik i love them to death and i would prob;1;0;1;-0.0763888888888889;0.5472222222222223;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;0;1;0
Getting blown out by the worst team in the league while they wearing these is what s gonna be in my suicide note https   t co pFrF1Iol4a;1;1;1;-1.0;1.0;1;1;0;0;1;3;1;0;0;0;0;0;0;1;1;1;1;1;1
A father  whose daughter committed suicide  saying   cannabis is very  very dangerous  is an  instr  https   t co iGIYBvXZdD;1;1;1;-0.78;1.0;1;1;0;0;1;3;1;0;0;0;0;0;0;1;1;1;1;1;1
Haven t watched WWE since Extreme Rules  I will now begin last night s Monday Night Raw  This is my suicide note;1;0;1;-0.1185897435897436;0.5094017094017094;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;0;1;0
Not a lawyer  but I was diagnosed with depression when I was 12 13  My brother swore up and down t  https   t co eMWrR6PBWh;1;1;1;-0.1555555555555555;0.2888888888888889;1;0;0;1;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0
YALL im sad cause I keep seeing tweets about invisible and the fact that it was a suicide note  and like I already  https   t co FTr8WA8GLz;1;1;1;-0.5;1.0;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;1;1;1
RT  I just found a suicide note  I m fine  I wrote in April  Seems like my dates were wrong  This year  NBC commentators keep;1;0;1;-0.0416666666666666;0.7;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;0;1;0
About me and im serious about that  If i were to ever  i dont think i have the guts sadly  do suicide i wouldnt lea  https   t co 0bCFEagZl1;1;1;1;-0.4166666666666666;0.8333333333333333;0;1;0;1;1;2;0;0;0;0;0;0;0;1;0;1;1;0;0
RT  One day ill kill myself and my suicide note will just be some shit like  my arms are kinda chubby  Bye;1;0;1;-0.35;0.9;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;1;1;1
Suicide has now become my new world and I am desperately searching for answers  Because to those that knew him bes  https   t co l2nYZIdS7k;1;0;1;-0.2318181818181818;0.7272727272727273;1;0;1;1;1;2;1;0;0;0;0;0;0;1;0;1;0;0;0
RT  This is truly a horrifying article   Most of us don t have the underlying  deep hereditary  mental health disorder  tha;1;0;1;-0.125;0.525;1;1;0;1;1;3;1;0;0;0;0;0;0;1;1;1;0;1;0
